supplier_id,name,category,city,region,product_description,min_order_kg,price_per_kg,certifications,delivery,coverage_region,contact_name,phone,email,website,source,notes,orders_count
S011,Сырная Лавка B2B,Молочная продукция,Санкт-Петербург,Ленинградская область,"Полутвердые и мягкие сыры, сливочный сыр, моцарелла и продукты для ресторанной кухни.",30,420,Декларации соответствия,Охлаждаемая доставка 1-2 дня,Санкт-Петербург; Ленинградская область,Дарья Власова,+7 000 000-00-11,darya@supplier-demo.example,www.supplier-demo.example/s011,Демонстрационный датасет,Есть нарезка и индивидуальная фасовка,680
S012,Сливки Плюс,Молочная продукция,Краснодар,Краснодарский край,"Сливки 10-33%, молоко, масло и кисломолочная продукция для кондитерских и кухонь.",50,112,Декларации соответствия; ХАССП,Доставка 1-2 дня,Краснодарский край; Ростовская область,Кирилл Беляев,+7 000 000-00-12, kirill@supplier-demo.example,www.supplier-demo.example/s012,Демонстрационный датасет,Основной ассортимент всегда в наличии,375
S013,Мясной Стандарт,Мясо и птица,Москва,Москва,"Охлажденная курица, индейка, свинина и полуфабрикаты для ресторанов.",100,285,Ветеринарные документы; ХАССП,Охлаждаемая доставка ежедневно,Москва; Московская область,Андрей Фомин,+7 000 000-00-13,andrey@supplier-demo.example,www.supplier-demo.example/s013,Демонстрационный датасет,Поставки по графику,920
S014,Волга Мясо,Мясо и птица,Казань,Татарстан,"Охлажденная говядина, свинина и птица, разделка под технологические карты.",200,345,Ветеринарные документы; ISO 22000,Доставка 1-3 дня; рефрижератор,Татарстан; Чувашия; Башкортостан,Артем Исаев,+7 000 000-00-14,artem@supplier-demo.example,www.supplier-demo.example/s014,Демонстрационный датасет,Возможна индивидуальная спецификация отруба,610
S015,Фреш Птица,Мясо и птица,Ростов-на-Дону,Ростовская область,"Курица, индейка и охлажденные полуфабрикаты. Оптовые поставки для HoReCa.",80,248,Ветеринарные документы,Доставка 1-2 дня,Ростовская область; Краснодарский край; Ставропольский край,Татьяна Горшкова,+7 000 000-00-15,tatiana@supplier-demo.example,www.supplier-demo.example/s015,Демонстрационный датасет,Минимальная партия ниже для постоянных клиентов,430
S016,Морской Партнер,Рыба и морепродукты,Санкт-Петербург,Ленинградская область,"Замороженная и охлажденная рыба, креветка, кальмар и морепродукты для HoReCa.",50,390,Ветеринарные документы; декларации соответствия,Холодовая цепь; доставка 1-2 дня,Санкт-Петербург; Москва; Северо-Запад,Виктория Куликова,+7 000 000-00-16,victoria@supplier-demo.example,www.supplier-demo.example/s016,Демонстрационный датасет,Есть вакуумная упаковка,705
S017,Океан Фуд,Рыба и морепродукты,Москва,Москва,"Филе лосося, белая рыба, креветка, мидии и кальмар в заморозке и охлаждении.",50,450,Ветеринарные документы; ХАССП,Охлаждаемая доставка 1-2 дня,Москва; Московская область,Игорь Назаров,+7 000 000-00-17,igor@supplier-demo.example,www.supplier-demo.example/s017,Демонстрационный датасет,Есть HoReCa-прайс,515
S018,Балтик Фиш,Рыба и морепродукты,Калининград,Калининградская область,Рыба и морепродукты с поставками для ресторанов и рыбных производств.,100,310,Ветеринарные документы,Доставка 2-4 дня; рефрижератор,Калининградская область; Москва; Санкт-Петербург,Максим Королев,+7 000 000-00-18,maxim@supplier-demo.example,www.supplier-demo.example/s018,Демонстрационный датасет,Выгодные условия на крупные партии,830
S019,ФудПак Центр,Упаковка,Москва,Москва,"Одноразовая пищевая упаковка: контейнеры, стаканы, крышки, лотки, пакеты и крафтовая упаковка.",100,18,Декларации соответствия,Доставка 1-2 дня; собственный склад,Москва; Московская область,Роман Юдин,+7 000 000-00-19,roman@supplier-demo.example,www.supplier-demo.example/s019,Демонстрационный датасет,Есть брендинг упаковки,295
S020,ЭкоКонтейнер,Упаковка,Санкт-Петербург,Ленинградская область,"Биоразлагаемые контейнеры, бумажные стаканы, крышки и крафт-пакеты для кафе и доставки.",200,25,Декларации соответствия; FSC,Доставка 1-3 дня,Санкт-Петербург; Ленинградская область; Москва,Светлана Миронова,+7 000 000-00-20,svetlana@supplier-demo.example,www.supplier-demo.example/s020,Демонстрационный датасет,Фокус на eco-friendly ассортимент,460
S021,УпакСнаб,Упаковка,Новосибирск,Новосибирская область,"Пищевая пленка, контейнеры, пакеты, лотки и расходные материалы для производства.",300,15,Декларации соответствия,Доставка 2-5 дней,Новосибирская область; Алтайский край; Омская область,Вадим Егоров,+7 000 000-00-21,vadim@supplier-demo.example,www.supplier-demo.example/s021,Демонстрационный датасет,Низкая цена на крупный объем,770
S022,Крафт Линия,Упаковка,Екатеринбург,Свердловская область,"Крафтовые коробки, бумажные пакеты, стаканы и упаковка для доставки готовой еды.",100,22,Декларации соответствия,Доставка 1-3 дня,Урал; Тюменская область,Оксана Громова,+7 000 000-00-22,oksana@supplier-demo.example,www.supplier-demo.example/s022,Демонстрационный датасет,Есть печать логотипа,350
S023,Соус Про,Соусы и ингредиенты,Москва,Москва,"Томатные соусы, майонез, кетчуп, горчица, маринады и базы для ресторанной кухни.",50,165,Декларации соответствия; ХАССП,Доставка 1-2 дня,Москва; Московская область; ЦФО,Петр Котов,+7 000 000-00-23,petr@supplier-demo.example,www.supplier-demo.example/s023,Демонстрационный датасет,Канистры 3-10 л для кухни,640
S024,Пряность,Соусы и ингредиенты,Санкт-Петербург,Ленинградская область,"Специи, травы, маринады, сухие смеси, соусы и технологические ингредиенты.",25,210,Декларации соответствия; ISO 22000,Доставка 1-3 дня,Санкт-Петербург; Москва; Северо-Запад,Нина Киселева,+7 000 000-00-24,nina@supplier-demo.example,www.supplier-demo.example/s024,Демонстрационный датасет,Низкий минимальный заказ,560
S025,Аромат Фуд,Соусы и ингредиенты,Краснодар,Краснодарский край,"Специи, сушеные травы, соусы и ингредиенты для готовой еды и ресторанов.",50,185,Декларации соответствия,Доставка 1-2 дня,Краснодарский край; Ростовская область; Ставропольский край,Константин Артемьев,+7 000 000-00-25,konstantin@supplier-demo.example,www.supplier-demo.example/s025,Демонстрационный датасет,Есть мелкий и оптовый формат,815
S026,ФудБаза,Замороженные продукты,Москва,Москва,"Замороженные овощи, картофель фри, ягоды, полуфабрикаты и ингредиенты для кухни.",100,175,Декларации соответствия; ХАССП,Рефрижератор 1-2 дня,Москва; Московская область,Валерия Мельник,+7 000 000-00-26,valeria@supplier-demo.example,www.supplier-demo.example/s026,Демонстрационный датасет,Широкий ассортимент для ресторанов,405
S027,СеверФрост,Замороженные продукты,Санкт-Петербург,Ленинградская область,"Замороженные ягоды, овощи, картофель, полуфабрикаты и морепродукты.",100,185,Декларации соответствия; ветеринарные документы,Холодовая цепь; 1-2 дня,Санкт-Петербург; Ленинградская область; Карелия,Антон Сергеев,+7 000 000-00-27,anton@supplier-demo.example,www.supplier-demo.example/s027,Демонстрационный датасет,Поддержка регулярных поставок,730
S028,ЮгФуд,Замороженные продукты,Ростов-на-Дону,Ростовская область,"Замороженные овощи, картофель фри, полуфабрикаты и ягоды для HoReCa.",150,168,Декларации соответствия,Доставка 1-3 дня; рефрижератор,Ростовская область; Краснодарский край; Ставропольский край,Евгения Козлова,+7 000 000-00-28,evgenia@supplier-demo.example,www.supplier-demo.example/s028,Демонстрационный датасет,Выгодные цены на паллеты,590
S029,Сладкий Дом,Кондитерские ингредиенты,Москва,Москва,"Шоколад, какао, сахарная пудра, сливки, начинки и декор для кондитерского производства.",25,340,Декларации соответствия; ХАССП,Доставка 1-2 дня,Москва; Московская область,Алина Воронова,+7 000 000-00-29,alina@supplier-demo.example,www.supplier-demo.example/s029,Демонстрационный датасет,Есть профессиональные форматы упаковки,370
S030,Cocoa Trade,Кондитерские ингредиенты,Санкт-Петербург,Ленинградская область,"Какао, шоколад, глазури, орехи, сухофрукты и ингредиенты для кондитерских цехов.",50,410,Декларации соответствия; ISO 22000,Доставка 1-3 дня,Санкт-Петербург; Москва; Северо-Запад,Владимир Руденко,+7 000 000-00-30,vladimir@supplier-demo.example,www.supplier-demo.example/s030,Демонстрационный датасет,Широкий ассортимент для профессиональной кухни,945
S031,Премиум Бейс,Кондитерские ингредиенты,Казань,Татарстан,"Шоколад, какао, орехи, фруктовые пюре и начинки для кондитеров и ресторанов.",25,390,Декларации соответствия,Доставка 2-3 дня,Татарстан; Башкортостан; Самарская область,Лейла Ахметова,+7 000 000-00-31,leila@supplier-demo.example,www.supplier-demo.example/s031,Демонстрационный датасет,Можно собрать комплексный заказ,525
S032,АгроПлюс,Овощи,Москва,Москва,"Картофель, морковь, свекла, лук и овощные смеси для кухонь и столовых.",150,61,Декларации соответствия,Доставка 1-2 дня,Москва; Московская область; ЦФО,Дмитрий Савельев,+7 000 000-00-32,dmitry@supplier-demo.example,www.supplier-demo.example/s032,Демонстрационный датасет,Стабильные цены по договору,690
S033,Чистый Состав,Соусы и ингредиенты,Новосибирск,Новосибирская область,"Натуральные специи, соусы, травы и смеси без усилителей вкуса для food production.",25,230,Декларации соответствия; ISO 22000,Доставка 2-4 дня,Новосибирская область; Омская область; Красноярский край,Юлия Иванова,+7 000 000-00-33,yulia@supplier-demo.example,www.supplier-demo.example/s033,Демонстрационный датасет,Подходит для рецептур с clean label,335
S034,Пакет Фуд,Упаковка,Казань,Татарстан,"Контейнеры, стаканы, крышки, пакеты и одноразовая упаковка для доставки еды.",100,17,Декларации соответствия,Доставка 1-3 дня,Татарстан; Башкортостан; Чувашия,Иван Нестеров,+7 000 000-00-34,ivan@supplier-demo.example,www.supplier-demo.example/s034,Демонстрационный датасет,Есть нейтральная и крафтовая упаковка,785
S035,Ферма Дон,Молочная продукция,Ростов-на-Дону,Ростовская область,"Молоко, сливки, сметана, творог и масло для кафе и пищевых производств.",100,101,Ветеринарные документы; декларации соответствия,Охлаждаемая доставка 1-2 дня,Ростовская область; Краснодарский край; Ставропольский край,Полина Шевченко,+7 000 000-00-35,polina@supplier-demo.example,www.supplier-demo.example/s035,Демонстрационный датасет,Регулярные маршруты,480
S036,Сибирь Агро,Овощи,Новосибирск,Новосибирская область,"Картофель, морковь, капуста, лук и сезонные овощи. Поставки для столовых и пищевого производства.",250,57,Фитосанитарные документы,Доставка 1-3 дня,Новосибирская область; Алтайский край; Кемеровская область,Глеб Фролов,+7 000 000-00-36,gleb@supplier-demo.example,www.supplier-demo.example/s036,Демонстрационный датасет,Оптовые цены от паллеты,620
